Clubes,Atlético GO,Atlético,Athletico,Bahia,Botafogo,Corinthians,Vitória,Cruzeiro,Cuiabá,Flamengo,Fluminense,Fortaleza,Grêmio,Criciúma,Internacional,Palmeiras,Juventude,São Paulo,Vasco,Média da Liga
Direitos de transmissão,58,248,54,112.0,0,295,84.0,138,56.0,322,167,72,173.0,60,89,171.0,94,239,95,140.38888888888889
Publicidade e patrocínio,14,58,60,59.0,0,254,42.0,58,31.0,320,78,42,65.0,10,75,143.0,26,109,59,83.5
Arrecadação de jogos,11,81,26,83.0,0,94,10.0,51,13.0,166,29,26,12.0,3,19,53.0,4,108,30,45.5
Sócio-torcedor,3,32,59,0.0,0,71,38.0,32,1.6,78,70,39,99.0,20,86,74.0,6,52,54,47.91764705882353
Premiações,0,0,27,0.0,0,0,0.0,0,0.0,132,0,46,6.0,0,53,63.0,0,0,51,54.0
Licenciamento da marca,0,11,50,7.0,0,0,0.0,15,7.0,98,0,0,48.0,1,17,37.0,1,27,0,26.583333333333332
RECEITA RECORRENTE,86,430,276,261.0,0,714,174.0,294,108.6,1115,344,225,403.0,94,339,541.0,131,535,289,353.31111111111113
Negociação de atletas,7,183,208,36.0,0,338,1.7,75,114.0,107,268,0,106.0,2,178,440.0,4,93,174,137.33529411764704
Outras receitas,17,14,34,24.0,0,27,2.3,24,18.0,15,49,7,84.0,26,7,225.5,3,94,10,37.82222222222222
RECEITA OPERACIONAL,110,627,450,273.0,0,1079,178.0,345,204.6,1237,661,232,593.0,70,510,1206.5,138,722,453,504.95000000000005
Pessoal e encargos sociais,31,244,108,294.0,0,368,72.0,200,92.0,386,371,97,165.0,81,203,362.0,61,265,234,201.88888888888889
Direitos de imagem,15,80,29,0.0,0,0,29.0,0,0.0,138,0,46,99.9,0,69,87.0,20,110,0,65.71818181818182
Despesas com jogos,0,59,17,54.0,0,0,16.0,21,16.0,125,72,24,76.1,0,22,30.0,0,71,0,46.392307692307696
Despesas gerais e administrativas,13,46,138,37.0,0,106,86.0,65,14.0,113,52,40,90.0,4,76,179.0,11,84,103,69.83333333333333
Depreciação e amortização,7,113,44,2.5,0,83,4.0,87,10.0,213,37,53,47.0,0,79,116.0,1,98,95,64.08823529411765
Outras despesas,91,165,62,135.0,0,315,6.0,118,11.0,217,60,15,10.0,12,31,159.0,9,289,66,98.38888888888889
DESPESAS,157,707,398,522.5,0,872,213.0,491,143.0,1192,592,275,488.0,97,480,933.0,102,917,498,504.30555555555554
RESULTADO OPERACIONAL,47,80,52,250.0,0,207,35.0,146,61.599999999999994,45,69,75,105.0,27,30,275.0,36,195,45,98.92222222222222
Resultado Financeiro,2,219,29,3.0,0,389,6.0,24,3.0,46,69,5,61.0,1,64,77.0,2,93,47,63.333333333333336
Superávit/Déficit,45,299,23,247.0,0,182,41.0,170,64.6,1,0,80,44.0,29,34,198.0,34,288,92,110.09411764705882
Folha de Pessoal/Imagem,46,324,137,294.0,0,368,72.0,200,92.0,524,371,143,264.9,81,272,449.0,81,375,234,240.43888888888887
Transmissão + Premiações,58,248,81,112.0,0,295,84.0,138,56.0,454,167,118,179.0,60,142,234.0,94,239,146,161.38888888888889
Folha do Futebol,46,324,137,294.0,0,368,72.0,200,92.0,524,371,143,264.9,81,272,449.0,81,375,234,240.43888888888887
Venda de Direitos - Liga Forte,0,0,0,0.0,0,0,0.0,0,0.0,0,0,0,0.0,0,0,0.0,0,0,0,0.0
Outras Rec/Desp Operacionais,0,0,0,0.0,0,0,0.0,0,0.0,0,0,0,0.0,0,0,0.0,0,0,0,0.0
Ajuste - LFF,0,0,0,0.0,0,0,0.0,0,0.0,0,0,0,0.0,0,0,0.0,0,0,0,0.0
Transmissão Pura,0,0,54,0.0,0,0,0.0,0,0.0,322,0,0,173.0,0,0,171.0,0,0,0,180.0
Ajuste - LFF,0,0,0,0.0,0,0,0.0,0,0.0,0,0,0,0.0,0,0,0.0,0,0,0,0.0
Mistura Clube Social x Esportivo,0,0,0,0.0,0,0,0.0,0,0.0,1,0,0,1.0,0,0,0.0,0,0,0,1.0
